matchId,season,date,home,away,venue,p_v3,pred_v3,p_w,pred_w,actual
1256,2022,2022-04-30,Carlton,North Melbourne,Marvel Stadium,0.6752,13.05,0.7650,22.90,50
1257,2022,2022-04-30,St Kilda,Port Adelaide,Cazalys Stadium,0.6258,8.93,0.5040,0.30,-1
1258,2022,2022-05-01,Collingwood,Gold Coast,MCG,0.6524,11.09,0.6840,15.20,25
1259,2022,2022-05-01,Western Bulldogs,Essendon,Marvel Stadium,0.7366,18.83,0.6780,14.70,32
1260,2022,2022-05-01,Sydney,Brisbane Lions,SCG,0.5242,1.58,0.5430,3.40,-24
1261,2022,2022-05-06,Port Adelaide,Western Bulldogs,Adelaide Oval,0.6081,7.55,0.6300,10.70,17
1262,2022,2022-05-06,Fremantle,North Melbourne,Perth Stadium,0.7488,20.09,0.8770,37.30,78
1263,2022,2022-05-07,Richmond,Collingwood,MCG,0.6567,11.45,0.5690,5.60,27
1264,2022,2022-05-07,Sydney,Gold Coast,SCG,0.8301,29.84,0.7940,26.30,-14
1265,2022,2022-05-07,GWS Giants,Geelong,Manuka Oval,0.5000,0.00,0.5540,4.40,-53
1266,2022,2022-05-07,Essendon,Hawthorn,Marvel Stadium,0.5431,2.84,0.4730,-2.20,27
1267,2022,2022-05-07,Brisbane Lions,West Coast,Gabba,0.9273,47.86,0.9720,61.50,75
1268,2022,2022-05-08,Melbourne,St Kilda,MCG,0.7834,23.91,0.6880,15.70,38
1269,2022,2022-05-08,Carlton,Adelaide,Marvel Stadium,0.6756,13.08,0.7220,18.90,48
1270,2022,2022-05-13,Collingwood,Western Bulldogs,Marvel Stadium,0.4335,-4.48,0.4480,-4.20,-48
1271,2022,2022-05-14,Hawthorn,Richmond,MCG,0.3764,-8.76,0.3620,-11.30,-23
1272,2022,2022-05-14,North Melbourne,Port Adelaide,Ninja Stadium,0.2776,-17.42,0.1890,-28.40,-69
1273,2022,2022-05-14,St Kilda,Geelong,Marvel Stadium,0.5230,1.50,0.4990,-0.10,10
1274,2022,2022-05-14,Sydney,Essendon,SCG,0.7737,22.80,0.7790,24.80,58
1275,2022,2022-05-14,Adelaide,Brisbane Lions,Adelaide Oval,0.1689,-29.99,0.2090,-26.10,-36
1276,2022,2022-05-15,Gold Coast,Fremantle,Carrara,0.4039,-6.64,0.4610,-3.10,36
1277,2022,2022-05-15,GWS Giants,Carlton,Sydney Showground,0.5992,6.88,0.5510,4.10,-30
1278,2022,2022-05-15,West Coast,Melbourne,Perth Stadium,0.0689,-48.89,0.0440,-54.80,-74
1279,2022,2022-05-20,Carlton,Sydney,Marvel Stadium,0.3773,-8.69,0.4080,-7.50,15
1280,2022,2022-05-21,Western Bulldogs,Gold Coast,Mars Stadium,0.7100,16.22,0.7150,18.40,19
1281,2022,2022-05-21,Geelong,Port Adelaide,Kardinia Park,0.6249,8.86,0.6770,14.90,35
1282,2022,2022-05-21,North Melbourne,Melbourne,Marvel Stadium,0.1014,-41.25,0.0440,-55.10,-47
1283,2022,2022-05-21,Adelaide,St Kilda,Adelaide Oval,0.3125,-14.14,0.2900,-17.90,-21
1284,2022,2022-05-21,Richmond,Essendon,MCG,0.7278,17.95,0.7630,23.10,32
1285,2022,2022-05-22,GWS Giants,West Coast,Sydney Showground,0.7200,17.18,0.8690,36.20,52
1286,2022,2022-05-22,Hawthorn,Brisbane Lions,UTAS Stadium,0.2052,-25.28,0.3020,-16.80,5
1287,2022,2022-05-22,Fremantle,Collingwood,Perth Stadium,0.6821,13.65,0.7420,21.00,-36
1288,2022,2022-05-27,Sydney,Richmond,SCG,0.6172,8.25,0.5900,7.30,6
1289,2022,2022-05-28,Geelong,Adelaide,Kardinia Park,0.8239,28.99,0.8580,34.50,42
1290,2022,2022-05-28,Brisbane Lions,GWS Giants,Gabba,0.8444,31.90,0.8500,33.30,14
1291,2022,2022-05-28,Melbourne,Fremantle,MCG,0.8510,32.89,0.8280,30.40,-38
1292,2022,2022-05-28,West Coast,Western Bulldogs,Perth Stadium,0.2051,-25.29,0.1450,-34.00,-101
