matchId,season,date,round,phase,home,away,venue,vbucket,predMargin,absPred,closeBand,weTipped,actualMargin,absActual,draw,miss,class,fieldN,fieldShareCorrect,fieldHomeShare,fieldFav,weAgainstField,ourProbWinner,fieldProbWinner,restHome,restAway,restDiff,postByeHome,postByeAway,weather,wet,gameid
1803,2024,2024-08-10,Round 22,late,Brisbane Lions,GWS Giants,Gabba,true_home_interstate,17.65,17.65,12-24,home,-18,18,False,True,consensus,23,0.0,1.0,home,False,0.275,0.25,6,6,0,False,False,MOSTLY_SUNNY,False,35880
1804,2024,2024-08-10,Round 22,late,Fremantle,Geelong,Perth Stadium,true_home_interstate,3.53,3.53,<6,home,-11,11,False,True,consensus,23,0.0,1.0,home,False,0.447,0.392,6,7,-1,False,False,SUNNY,False,35888
1805,2024,2024-08-10,Round 22,late,Essendon,Gold Coast,Marvel Stadium,shared_interstate,11.15,11.15,6-12,home,-1,1,False,True,consensus,23,0.043,0.913,home,False,0.347,0.423,6,8,-2,False,False,MOSTLY_SUNNY,False,35882
1807,2024,2024-08-11,Round 22,late,Carlton,Hawthorn,MCG,shared_derby,2.01,2.01,<6,home,-74,74,False,True,consensus,23,0.348,0.609,home,False,0.469,0.494,8,7,1,False,False,SUNNY,False,35881
1809,2024,2024-08-11,Round 22,late,Adelaide,Western Bulldogs,Adelaide Oval,true_home_interstate,-12.4,12.4,12-24,away,39,39,False,True,consensus,23,0.0,0.0,away,False,0.332,0.344,8,9,-1,False,False,SUNNY,False,35887
1812,2024,2024-08-17,Round 23,late,Gold Coast,Melbourne,Carrara,true_home_interstate,2.14,2.14,<6,home,-54,54,False,True,consensus,23,0.0,1.0,home,False,0.467,0.369,7,7,0,False,False,SUNNY,False,35891
1813,2024,2024-08-17,Round 23,late,Collingwood,Brisbane Lions,MCG,shared_interstate,-8.03,8.03,6-12,away,1,1,False,True,consensus,23,0.0,0.0,away,False,0.386,0.379,8,7,1,False,False,RAIN,True,35889
1815,2024,2024-08-17,Round 23,late,St Kilda,Geelong,Marvel Stadium,shared_derby,-0.92,0.92,<6,away,18,18,False,True,consensus,23,0.087,0.087,away,False,0.486,0.426,6,7,-1,False,False,RAIN,True,35894
1827,2024,2024-08-25,Round 24,late,Fremantle,Port Adelaide,Perth Stadium,true_home_interstate,0.59,0.59,<6,home,-20,20,False,True,grey,23,0.478,0.522,home,False,0.491,0.499,8,8,0,False,False,OVERCAST,False,35906
1828,2024,2024-09-05,Finals Week 1,finals,Port Adelaide,Geelong,Adelaide Oval,true_home_interstate,9.23,9.23,6-12,home,-84,84,False,True,consensus,23,0.043,0.957,home,False,0.37,0.342,11,12,-1,False,True,RAIN,True,35910
1829,2024,2024-09-06,Finals Week 1,finals,Western Bulldogs,Hawthorn,MCG,shared_derby,8.58,8.58,6-12,home,-37,37,False,True,consensus,23,0.174,0.826,home,False,0.379,0.43,12,13,-1,True,True,RAIN,True,35908
1832,2024,2024-09-13,Semi Finals,finals,Port Adelaide,Hawthorn,Adelaide Oval,true_home_interstate,-6.7,6.7,6-12,away,3,3,False,True,consensus,23,0.087,0.087,away,False,0.403,0.411,8,7,1,False,False,MOSTLY_SUNNY,False,35912
1836,2024,2024-09-28,Grand Final,finals,Sydney,Brisbane Lions,MCG,neutral,7.83,7.83,6-12,home,-60,60,False,True,tipper_specific,23,0.783,0.217,away,True,0.388,0.542,8,7,1,False,False,SUNNY,False,35915
1839,2025,2025-03-13,Round 1,early,Richmond,Carlton,MCG,shared_derby,-21.11,21.11,12-24,away,13,13,False,True,consensus,23,0.0,0.0,away,False,0.242,0.208,,,,False,False,OVERCAST,False,37094
1852,2025,2025-03-22,Round 2,early,St Kilda,Geelong,Marvel Stadium,shared_derby,-5.12,5.12,<6,away,7,7,False,True,consensus,23,0.0,0.0,away,False,0.425,0.329,6,7,-1,False,False,MOSTLY_SUNNY,False,37107
1854,2025,2025-03-23,Round 2,early,North Melbourne,Melbourne,Marvel Stadium,shared_derby,-7.46,7.46,6-12,away,59,59,False,True,consensus,23,0.043,0.043,away,False,0.393,0.326,8,7,1,False,False,MOSTLY_SUNNY,False,37109
1856,2025,2025-03-27,Round 3,early,Essendon,Port Adelaide,Marvel Stadium,shared_interstate,-10.22,10.22,6-12,away,12,12,False,True,consensus,23,0.261,0.261,away,False,0.358,0.45,5,5,0,False,False,MOSTLY_SUNNY,False,37111
1870,2025,2025-04-06,Round 4,early,Port Adelaide,St Kilda,Adelaide Oval,true_home_interstate,9.62,9.62,6-12,home,-17,17,False,True,consensus,23,0.0,1.0,home,False,0.366,0.392,10,8,2,False,False,RAIN,True,37124
1872,2025,2025-04-10,Round 5,early,Adelaide,Geelong,Adelaide Oval,true_home_interstate,6.66,6.66,6-12,home,-19,19,False,True,consensus,23,0.348,0.652,home,False,0.404,0.461,5,6,-1,False,False,MOSTLY_SUNNY,False,37126
1877,2025,2025-04-12,Round 5,early,Melbourne,Essendon,Adelaide Oval,neutral,10.2,10.2,6-12,home,-39,39,False,True,tipper_specific,23,0.652,0.348,away,True,0.358,0.521,8,16,-8,False,True,MOSTLY_SUNNY,False,37131
1880,2025,2025-04-13,Round 5,early,Port Adelaide,Hawthorn,Adelaide Oval,true_home_interstate,-17.38,17.38,12-24,away,30,30,False,True,consensus,23,0.0,0.0,away,False,0.278,0.362,7,15,-8,False,True,SUNNY,False,37134
1881,2025,2025-04-17,Round 6,early,Brisbane Lions,Collingwood,Gabba,true_home_interstate,16.82,16.82,12-24,home,-52,52,False,True,consensus,23,0.043,0.957,home,False,0.284,0.372,5,6,-1,False,False,MOSTLY_SUNNY,False,37135
1884,2025,2025-04-19,Round 6,early,Melbourne,Fremantle,MCG,shared_interstate,-15.08,15.08,12-24,away,10,10,False,True,consensus,23,0.043,0.043,away,False,0.302,0.357,7,6,1,False,False,MOSTLY_SUNNY,False,37138
1885,2025,2025-04-19,Round 6,early,Adelaide,GWS Giants,Adelaide Oval,true_home_interstate,-3.64,3.64,<6,away,18,18,False,True,tipper_specific,23,0.783,0.739,home,True,0.445,0.559,9,6,3,False,False,RAIN,True,37139
1886,2025,2025-04-19,Round 6,early,Richmond,Gold Coast,Marvel Stadium,shared_interstate,-27.17,27.17,24+,away,11,11,False,True,consensus,23,0.0,0.0,away,False,0.19,0.179,6,7,-1,False,False,MOSTLY_SUNNY,False,37140
1887,2025,2025-04-20,Round 6,early,Sydney,Port Adelaide,SCG,true_home_interstate,9.4,9.4,6-12,home,-8,8,False,True,consensus,23,0.043,0.957,home,False,0.368,0.387,9,7,2,False,False,SUNNY,False,37141
1889,2025,2025-04-21,Round 6,early,Geelong,Hawthorn,MCG,shared_derby,-2.97,2.97,<6,away,7,7,False,True,grey,23,0.609,0.609,home,True,0.455,0.521,11,8,3,False,False,RAIN,True,37143
