matchId,season,date,home,away,venue,p_v3,pred_v3,p_w,pred_w,actual,wheelo_right
1644,2024,2024-03-29,Fremantle,Adelaide,Perth Stadium,0.5877,6.02,0.4980,-0.10,35,False
1654,2024,2024-04-06,Fremantle,Carlton,Adelaide Oval,0.5453,3.00,0.3480,-12.10,-10,True
1655,2024,2024-04-06,Western Bulldogs,Geelong,Adelaide Oval,0.5977,6.76,0.4760,-1.90,-4,True
1667,2024,2024-04-18,St Kilda,Western Bulldogs,Marvel Stadium,0.6622,11.92,0.4340,-5.00,-60,True
1670,2024,2024-04-20,Carlton,GWS Giants,Marvel Stadium,0.4235,-5.20,0.5540,4.20,19,True
1677,2024,2024-04-25,GWS Giants,Brisbane Lions,Manuka Oval,0.6376,9.88,0.4710,-2.20,54,False
1681,2024,2024-04-27,Fremantle,Western Bulldogs,Perth Stadium,0.5097,0.62,0.4440,-4.30,24,False
1706,2024,2024-05-18,St Kilda,Fremantle,Marvel Stadium,0.4649,-2.30,0.5490,3.80,-17,False
1711,2024,2024-05-23,Western Bulldogs,Sydney,Marvel Stadium,0.3446,-11.34,0.5470,3.70,-14,False
1721,2024,2024-05-31,Collingwood,Western Bulldogs,Marvel Stadium,0.6480,10.73,0.3760,-10.00,-18,True
1741,2024,2024-06-21,Carlton,Geelong,MCG,0.6608,11.81,0.4860,-1.10,63,False
1750,2024,2024-06-29,Gold Coast,Collingwood,Carrara,0.4391,-4.08,0.5030,0.30,11,True
1752,2024,2024-06-29,Geelong,Essendon,MCG,0.5506,3.36,0.4600,-3.20,45,False
1765,2024,2024-07-12,Collingwood,Geelong,MCG,0.5639,4.30,0.4390,-4.90,-20,True
1766,2024,2024-07-13,Hawthorn,Fremantle,UTAS Stadium,0.4862,-0.89,0.5790,6.50,13,True
1770,2024,2024-07-13,Melbourne,Essendon,MCG,0.5276,1.80,0.4050,-7.80,17,False
1780,2024,2024-07-21,Brisbane Lions,Sydney,Gabba,0.4882,-0.76,0.5370,3.00,2,True
1785,2024,2024-07-27,St Kilda,Essendon,Marvel Stadium,0.5137,0.88,0.4460,-4.40,53,False
1794,2024,2024-08-03,North Melbourne,Richmond,Marvel Stadium,0.5069,0.44,0.3250,-14.60,13,False
1796,2024,2024-08-03,Collingwood,Carlton,MCG,0.5268,1.75,0.3510,-12.30,3,False
1797,2024,2024-08-03,Port Adelaide,Sydney,Adelaide Oval,0.4428,-3.82,0.5350,2.80,112,True
1798,2024,2024-08-04,GWS Giants,Hawthorn,Manuka Oval,0.5435,2.87,0.3910,-8.90,2,False
1827,2024,2024-08-25,Fremantle,Port Adelaide,Perth Stadium,0.5092,0.59,0.4480,-4.30,-20,True
